series,gsm,patient,histology,module,spots,assayed_fraction,eligible,mean_log1p_norm10000,mean_norm10000,coordinates_available
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_TGFB1,4290,1.0,True,0.12951926676316,0.212222131885736,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_CCL2,4290,1.0,True,0.1732700916517908,0.345503426812175,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_CXCL12,4290,1.0,True,0.9153338718469816,2.470647559220217,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_AREG,4290,1.0,True,0.2577202500970197,0.4850128924327879,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_HBEGF,4290,1.0,True,0.0964552942666338,0.1679298579798073,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_FGF7,4290,1.0,True,0.5203568185544767,1.1226906372784926,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_FGF10,4290,1.0,True,0.1163834441900538,0.210044813478377,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_COL1A1,4290,1.0,True,3.0773548217100384,41.33991145846071,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_C1QA,4290,1.0,True,0.6942464981787282,1.842981386345553,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_KRT8,4290,1.0,True,0.6319371360448809,1.5433938086315768,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_KRT5,4290,1.0,True,0.6383139189077229,2.2243227373420837,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_KRT17,4290,1.0,True,0.5227169426095832,1.6763378494036107,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_CLDN4,4290,1.0,True,0.3886722742190883,0.8291808760975025,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_SFTPC,4290,1.0,True,0.39804333676339,3.392378912924176,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_AGER,4290,1.0,True,0.3574209870741248,0.7022310115888365,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_AQP5,4290,1.0,True,0.2787482665329312,0.5797217240359814,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_CD3D,4290,1.0,True,0.0939748618198084,0.1661069141920375,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_CD8A,4290,1.0,True,0.1170455175139584,0.2202829019806306,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_TNF,4290,1.0,True,0.0618004336012528,0.1220886060526491,False
GSE267226,GSM8262702,GSM8262702,COVID2,GENE_IFNG,4290,1.0,True,0.0487659540396183,0.090353566910468,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_E2F_TARGETS,3949,0.955,True,0.235831142686588,0.3594239058914728,False
