patient,histology,uncertainty,broad,gene,cells,counts,detected_cells,sum_normalized_10000,detection_fraction,mean_normalized_10000
3,AIS,0.2,Other myeloid,IL1B,28,48,7,344.1343130232416,0.25,12.290511179401486
3,AIS,0.2,Other myeloid,IL1R1,28,0,0,0.0,0.0,0.0
3,AIS,0.2,Other myeloid,IL1R2,28,0,0,0.0,0.0,0.0
3,AIS,0.2,Other myeloid,IL1RAP,28,1,1,3.354579000335458,0.03571428571428571,0.11980639286912351
3,AIS,0.2,Other myeloid,IL1RN,28,6,5,42.994673585089856,0.17857142857142858,1.535524056610352
3,AIS,0.2,Other myeloid,NLRP3,28,5,3,33.31954248637814,0.10714285714285714,1.1899836602277907
3,AIS,0.2,Other myeloid,PYCARD,28,6,5,45.9174496559326,0.17857142857142858,1.6399089162833071
3,AIS,0.2,Other myeloid,SIGIRR,28,5,5,41.99713212189735,0.17857142857142858,1.4998975757820483
3,AIS,0.2,Unassigned,GSDMD,1876,713,534,3610.0740519622177,0.2846481876332623,1.924346509574743
3,AIS,0.2,Unassigned,IL1A,1876,55,23,200.8695328580293,0.012260127931769723,0.10707331175801135
3,AIS,0.2,Unassigned,IL1B,1876,739,128,4877.010267482494,0.06823027718550106,2.5996856436473847
3,AIS,0.2,Unassigned,IL1R1,1876,3906,1059,18192.09220912493,0.564498933901919,9.69727729697491
3,AIS,0.2,Unassigned,IL1R2,1876,36,25,172.17427024973577,0.013326226012793176,0.09177732955742846
3,AIS,0.2,Unassigned,IL1RAP,1876,307,201,1516.800911227297,0.10714285714285714,0.808529270377024
3,AIS,0.2,Unassigned,IL1RN,1876,432,126,1860.485525193148,0.06716417910447761,0.9917300240901642
3,AIS,0.2,Unassigned,NLRP3,1876,147,84,898.1728218866415,0.04477611940298507,0.4787701609203846
3,AIS,0.2,Unassigned,PYCARD,1876,39,35,172.17835019909677,0.018656716417910446,0.09177950437052067
3,AIS,0.2,Unassigned,SIGIRR,1876,355,272,1538.972763887568,0.14498933901918976,0.8203479551639488
3,AIS,0.3,AT2-like,GSDMD,773,228,173,981.1514491508784,0.2238033635187581,1.2692774245160134
3,AIS,0.3,AT2-like,IL1A,773,0,0,0.0,0.0,0.0
3,AIS,0.3,AT2-like,IL1B,773,2,2,12.83444790380919,0.00258732212160414,0.0166034254900507
3,AIS,0.3,AT2-like,IL1R1,773,1453,496,6295.806067021191,0.6416558861578266,8.144639155266741
3,AIS,0.3,AT2-like,IL1R2,773,2,2,7.375872052731276,0.00258732212160414,0.009541878464076683
3,AIS,0.3,AT2-like,IL1RAP,773,120,89,589.0631201400101,0.11513583441138421,0.7620480208797027
3,AIS,0.3,AT2-like,IL1RN,773,0,0,0.0,0.0,0.0
3,AIS,0.3,AT2-like,NLRP3,773,3,2,8.629072786704196,0.00258732212160414,0.011163095454986022
3,AIS,0.3,AT2-like,PYCARD,773,1,1,6.12369871402327,0.00129366106080207,0.007921990574415614
3,AIS,0.3,AT2-like,SIGIRR,773,193,163,867.3976983777902,0.2108667529107374,1.122118626620686
3,AIS,0.3,Fibroblasts,GSDMD,206,51,40,324.0589314246018,0.1941747572815534,1.5731016088572902
3,AIS,0.3,Fibroblasts,IL1A,206,0,0,0.0,0.0,0.0
3,AIS,0.3,Fibroblasts,IL1B,206,12,1,63.291139240506325,0.0048543689320388345,0.30723854000245787
3,AIS,0.3,Fibroblasts,IL1R1,206,569,145,3572.6580169555064,0.7038834951456311,17.343000082308283
3,AIS,0.3,Fibroblasts,IL1R2,206,1,1,4.448398576512456,0.0048543689320388345,0.021594167847147842
3,AIS,0.3,Fibroblasts,IL1RAP,206,22,18,152.28786097851756,0.08737864077669903,0.7392614610607648
3,AIS,0.3,Fibroblasts,IL1RN,206,4,2,17.913101987364378,0.009708737864077669,0.08695680576390474
3,AIS,0.3,Fibroblasts,NLRP3,206,1,1,7.639419404125286,0.0048543689320388345,0.03708456021420042
3,AIS,0.3,Fibroblasts,PYCARD,206,0,0,0.0,0.0,0.0
3,AIS,0.3,Fibroblasts,SIGIRR,206,6,4,25.557820160766816,0.019417475728155338,0.12406708815906221
3,AIS,0.3,Macrophages,GSDMD,87,34,27,167.82312710564452,0.3103448275862069,1.9290014609844197
3,AIS,0.3,Macrophages,IL1A,87,3,3,18.544508201188663,0.034482758620689655,0.21315526668032944
3,AIS,0.3,Macrophages,IL1B,87,6,4,39.56084084923246,0.04597701149425287,0.4547223086118674
3,AIS,0.3,Macrophages,IL1R1,87,26,18,107.606205493124,0.20689655172413793,1.2368529367025747
3,AIS,0.3,Macrophages,IL1R2,87,0,0,0.0,0.0,0.0
3,AIS,0.3,Macrophages,IL1RAP,87,11,8,55.07733896319982,0.09195402298850575,0.633072861645975
3,AIS,0.3,Macrophages,IL1RN,87,80,19,252.56396059526065,0.21839080459770116,2.9030340298305823
3,AIS,0.3,Macrophages,NLRP3,87,15,10,93.63447819264545,0.11494252873563218,1.0762583700304074
3,AIS,0.3,Macrophages,PYCARD,87,5,5,21.809730967269417,0.05747126436781609,0.2506865628421772
3,AIS,0.3,Macrophages,SIGIRR,87,3,3,13.584725682232342,0.034482758620689655,0.15614627220956714
3,AIS,0.3,Other assigned,GSDMD,175,88,64,631.8801027579375,0.3657142857142857,3.6107434443310713
3,AIS,0.3,Other assigned,IL1A,175,0,0,0.0,0.0,0.0
3,AIS,0.3,Other assigned,IL1B,175,28,8,123.85435954254274,0.045714285714285714,0.7077391973859585
3,AIS,0.3,Other assigned,IL1R1,175,186,55,1267.477460496008,0.3142857142857143,7.242728345691474
3,AIS,0.3,Other assigned,IL1R2,175,10,6,57.282873906868645,0.03428571428571429,0.3273307080392494
3,AIS,0.3,Other assigned,IL1RAP,175,11,10,87.6802257311179,0.05714285714285714,0.5010298613206737
3,AIS,0.3,Other assigned,IL1RN,175,10,2,95.14344704323442,0.011428571428571429,0.5436768402470538
3,AIS,0.3,Other assigned,NLRP3,175,3,2,16.174019979147545,0.011428571428571429,0.09242297130941454
3,AIS,0.3,Other assigned,PYCARD,175,6,4,30.33707391934368,0.022857142857142857,0.17335470811053533
3,AIS,0.3,Other assigned,SIGIRR,175,48,37,334.98921806583485,0.21142857142857144,1.914224103233342
3,AIS,0.3,Other epithelial,GSDMD,333,116,83,435.1593693624569,0.24924924924924924,1.3067848929803512
3,AIS,0.3,Other epithelial,IL1A,333,0,0,0.0,0.0,0.0
3,AIS,0.3,Other epithelial,IL1B,333,2,2,8.027813900619329,0.006006006006006006,0.024107549251109094
3,AIS,0.3,Other epithelial,IL1R1,333,506,175,2010.544897894022,0.5255255255255256,6.037672366048114
3,AIS,0.3,Other epithelial,IL1R2,333,3,2,5.93713063536514,0.006006006006006006,0.01782922112722264
3,AIS,0.3,Other epithelial,IL1RAP,333,31,24,161.71487606390335,0.07207207207207207,0.4856302584501602
3,AIS,0.3,Other epithelial,IL1RN,333,5,4,16.751077566388837,0.012012012012012012,0.05030353623540191
3,AIS,0.3,Other epithelial,NLRP3,333,4,1,9.36768149882904,0.003003003003003003,0.028131175672159277
3,AIS,0.3,Other epithelial,PYCARD,333,3,3,7.693351195393743,0.009009009009009009,0.023103156742924152
3,AIS,0.3,Other epithelial,SIGIRR,333,124,82,445.71603790851896,0.24624624624624625,1.3384866003258828
3,AIS,0.3,Other myeloid,GSDMD,39,24,17,173.17115835116493,0.4358974358974359,4.440286111568332
3,AIS,0.3,Other myeloid,IL1A,39,0,0,0.0,0.0,0.0
3,AIS,0.3,Other myeloid,IL1B,39,128,14,955.8556782943017,0.358974358974359,24.509119956264147
3,AIS,0.3,Other myeloid,IL1R1,39,6,6,39.08217576679736,0.15384615384615385,1.002107070943522
3,AIS,0.3,Other myeloid,IL1R2,39,0,0,0.0,0.0,0.0
3,AIS,0.3,Other myeloid,IL1RAP,39,5,3,31.801053724008213,0.07692307692307693,0.8154116339489286
3,AIS,0.3,Other myeloid,IL1RN,39,14,9,104.6645314183539,0.23076923076923078,2.6837059338039464
3,AIS,0.3,Other myeloid,NLRP3,39,11,7,69.67195626867898,0.1794871794871795,1.7864604171456149
3,AIS,0.3,Other myeloid,PYCARD,39,6,5,45.9174496559326,0.1282051282051282,1.1773705039982718
3,AIS,0.3,Other myeloid,SIGIRR,39,6,6,47.24647595391835,0.15384615384615385,1.2114481013825218
3,AIS,0.3,Unassigned,GSDMD,1518,571,428,2831.2646123062304,0.28194993412384717,1.8651282031002836
3,AIS,0.3,Unassigned,IL1A,1518,52,20,182.3250246568407,0.013175230566534914,0.12010871189515197
3,AIS,0.3,Unassigned,IL1B,1518,632,113,4143.354044504245,0.07444005270092227,2.72948224275642
3,AIS,0.3,Unassigned,IL1R1,1518,3047,836,14191.350466756514,0.5507246376811594,9.348715722500998
3,AIS,0.3,Unassigned,IL1R2,1518,30,22,159.00135864186564,0.014492753623188406,0.10474397802494442
3,AIS,0.3,Unassigned,IL1RAP,1518,268,171,1282.441135662304,0.11264822134387352,0.8448228825179869
3,AIS,0.3,Unassigned,IL1RN,1518,357,108,1616.844142554201,0.07114624505928854,1.0651147184151522
3,AIS,0.3,Unassigned,NLRP3,1518,126,72,785.5054800839222,0.04743083003952569,0.5174607905691186
3,AIS,0.3,Unassigned,PYCARD,1518,32,30,147.0514059608909,0.019762845849802372,0.09687180893339321
3,AIS,0.3,Unassigned,SIGIRR,1518,291,223,1270.0006053976158,0.1469038208168643,0.8366275397876257
3,LUAD,0.2,AT2-like,GSDMD,310,136,91,415.7416776718946,0.29354838709677417,1.3411021860383696
3,LUAD,0.2,AT2-like,IL1A,310,0,0,0.0,0.0,0.0
3,LUAD,0.2,AT2-like,IL1B,310,4,4,10.493156179199122,0.012903225806451613,0.03384889090064233
3,LUAD,0.2,AT2-like,IL1R1,310,231,113,900.0029048366572,0.36451612903225805,2.9032351768924425
3,LUAD,0.2,AT2-like,IL1R2,310,0,0,0.0,0.0,0.0
3,LUAD,0.2,AT2-like,IL1RAP,310,72,44,289.9768636389678,0.14193548387096774,0.9354092375450574
3,LUAD,0.2,AT2-like,IL1RN,310,1,1,1.461133839859731,0.0032258064516129032,0.004713334967289456
3,LUAD,0.2,AT2-like,NLRP3,310,1,1,2.844950213371266,0.0032258064516129032,0.009177258752810535
3,LUAD,0.2,AT2-like,PYCARD,310,8,6,21.22916579998217,0.01935483870967742,0.06848117999994248
3,LUAD,0.2,AT2-like,SIGIRR,310,122,89,382.9736294261661,0.2870967741935484,1.2353988046005357
3,LUAD,0.2,Fibroblasts,GSDMD,80,23,19,143.41495086152506,0.2375,1.7926868857690632
3,LUAD,0.2,Fibroblasts,IL1A,80,0,0,0.0,0.0,0.0
3,LUAD,0.2,Fibroblasts,IL1B,80,0,0,0.0,0.0,0.0
3,LUAD,0.2,Fibroblasts,IL1R1,80,107,47,666.931231299986,0.5875,8.336640391249826
3,LUAD,0.2,Fibroblasts,IL1R2,80,1,1,5.408328826392645,0.0125,0.06760411032990807
3,LUAD,0.2,Fibroblasts,IL1RAP,80,7,4,39.85700542918645,0.05,0.49821256786483065
3,LUAD,0.2,Fibroblasts,IL1RN,80,0,0,0.0,0.0,0.0
3,LUAD,0.2,Fibroblasts,NLRP3,80,2,1,6.101281269066504,0.0125,0.0762660158633313
3,LUAD,0.2,Fibroblasts,PYCARD,80,0,0,0.0,0.0,0.0
3,LUAD,0.2,Fibroblasts,SIGIRR,80,1,1,8.424599831508003,0.0125,0.10530749789385004
3,LUAD,0.2,Macrophages,GSDMD,23,12,8,58.22851352576623,0.34782608695652173,2.531674501120271
3,LUAD,0.2,Macrophages,IL1A,23,0,0,0.0,0.0,0.0
3,LUAD,0.2,Macrophages,IL1B,23,0,0,0.0,0.0,0.0
3,LUAD,0.2,Macrophages,IL1R1,23,5,4,24.16257540519906,0.17391304347826086,1.0505467567477853
3,LUAD,0.2,Macrophages,IL1R2,23,0,0,0.0,0.0,0.0
3,LUAD,0.2,Macrophages,IL1RAP,23,0,0,0.0,0.0,0.0
3,LUAD,0.2,Macrophages,IL1RN,23,6,3,34.67214777203968,0.13043478260869565,1.5074846857408557
3,LUAD,0.2,Macrophages,NLRP3,23,4,4,18.88621527845776,0.17391304347826086,0.8211397947155549
3,LUAD,0.2,Macrophages,PYCARD,23,3,2,8.587083494795067,0.08695652173913043,0.3733514562954377
3,LUAD,0.2,Macrophages,SIGIRR,23,1,1,3.219575016097875,0.043478260869565216,0.13998152243903803
3,LUAD,0.2,Other assigned,GSDMD,144,74,45,551.6005145244395,0.3125,3.830559128641941
3,LUAD,0.2,Other assigned,IL1A,144,0,0,0.0,0.0,0.0
3,LUAD,0.2,Other assigned,IL1B,144,0,0,0.0,0.0,0.0
3,LUAD,0.2,Other assigned,IL1R1,144,123,51,1007.015703376369,0.3541666666666667,6.99316460678034
3,LUAD,0.2,Other assigned,IL1R2,144,0,0,0.0,0.0,0.0
3,LUAD,0.2,Other assigned,IL1RAP,144,10,8,74.50640062944501,0.05555555555555555,0.5174055599267015
3,LUAD,0.2,Other assigned,IL1RN,144,3,1,22.30483271375465,0.006944444444444444,0.15489467162329618
3,LUAD,0.2,Other assigned,NLRP3,144,0,0,0.0,0.0,0.0
3,LUAD,0.2,Other assigned,PYCARD,144,1,1,9.70873786407767,0.006944444444444444,0.0674217907227616
3,LUAD,0.2,Other assigned,SIGIRR,144,32,25,226.6484518574499,0.1736111111111111,1.5739475823434022
3,LUAD,0.2,Other epithelial,GSDMD,365,120,78,385.65755330168884,0.2136986301369863,1.0565960364429832
3,LUAD,0.2,Other epithelial,IL1A,365,1,1,0.2462811545660526,0.0027397260273972603,0.0006747428892220619
3,LUAD,0.2,Other epithelial,IL1B,365,23,5,80.7554356664256,0.0136986301369863,0.22124776894911122
3,LUAD,0.2,Other epithelial,IL1R1,365,433,139,1540.3337875043728,0.38082191780821917,4.220092568505131
3,LUAD,0.2,Other epithelial,IL1R2,365,4,4,18.62643502479596,0.010958904109589041,0.05103132883505743
3,LUAD,0.2,Other epithelial,IL1RAP,365,50,32,134.21086081793405,0.08767123287671233,0.36770098854228506
3,LUAD,0.2,Other epithelial,IL1RN,365,14,7,16.348994885882313,0.019178082191780823,0.04479176681063647
3,LUAD,0.2,Other epithelial,NLRP3,365,1,1,7.942811755361398,0.0027397260273972603,0.021761128096880543
3,LUAD,0.2,Other epithelial,PYCARD,365,0,0,0.0,0.0,0.0
3,LUAD,0.2,Other epithelial,SIGIRR,365,216,107,582.3901287121004,0.29315068493150687,1.5955893937317818
3,LUAD,0.2,Other myeloid,GSDMD,32,10,8,72.97149326843702,0.25,2.2803591646386567
3,LUAD,0.2,Other myeloid,IL1A,32,0,0,0.0,0.0,0.0
3,LUAD,0.2,Other myeloid,IL1B,32,53,7,365.69106706342393,0.21875,11.427845845731998
3,LUAD,0.2,Other myeloid,IL1R1,32,2,1,12.070006035003017,0.03125,0.3771876885938443
3,LUAD,0.2,Other myeloid,IL1R2,32,0,0,0.0,0.0,0.0
3,LUAD,0.2,Other myeloid,IL1RAP,32,4,2,17.398290869459206,0.0625,0.5436965896706002
3,LUAD,0.2,Other myeloid,IL1RN,32,3,3,21.291623889657377,0.09375,0.665363246551793
3,LUAD,0.2,Other myeloid,NLRP3,32,8,4,43.5345800620819,0.125,1.3604556269400594
3,LUAD,0.2,Other myeloid,PYCARD,32,1,1,7.401924500370097,0.03125,0.23131014063656552
3,LUAD,0.2,Other myeloid,SIGIRR,32,2,2,14.606535451378743,0.0625,0.45645423285558573
3,LUAD,0.2,Unassigned,GSDMD,1190,525,350,2384.625225333974,0.29411764705882354,2.0038867439781294
3,LUAD,0.2,Unassigned,IL1A,1190,57,15,130.8625131533395,0.012605042016806723,0.10996849844818446
3,LUAD,0.2,Unassigned,IL1B,1190,660,94,3883.262120089146,0.07899159663865546,3.263245479066509
3,LUAD,0.2,Unassigned,IL1R1,1190,1580,529,8111.159486693463,0.4445378151260504,6.816100408986103
3,LUAD,0.2,Unassigned,IL1R2,1190,47,31,206.31801413112547,0.026050420168067228,0.17337648246313064
3,LUAD,0.2,Unassigned,IL1RAP,1190,250,158,1075.816457424856,0.13277310924369748,0.9040474432141647
3,LUAD,0.2,Unassigned,IL1RN,1190,354,101,1503.2295990997245,0.08487394957983194,1.2632181505039701
3,LUAD,0.2,Unassigned,NLRP3,1190,135,76,702.4943784715123,0.06386554621848739,0.5903314104802624
3,LUAD,0.2,Unassigned,PYCARD,1190,41,31,163.3202942957819,0.026050420168067228,0.13724394478637136
3,LUAD,0.2,Unassigned,SIGIRR,1190,270,204,1082.0568966551243,0.17142857142857143,0.9092915097942221
3,LUAD,0.3,AT2-like,GSDMD,344,161,106,475.9084188281785,0.3081395348837209,1.3834547058958677
3,LUAD,0.3,AT2-like,IL1A,344,0,0,0.0,0.0,0.0
3,LUAD,0.3,AT2-like,IL1B,344,4,4,10.493156179199122,0.011627906976744186,0.03050336098604396
3,LUAD,0.3,AT2-like,IL1R1,344,279,128,1024.0009803490543,0.37209302325581395,2.9767470358984136
3,LUAD,0.3,AT2-like,IL1R2,344,0,0,0.0,0.0,0.0
3,LUAD,0.3,AT2-like,IL1RAP,344,78,49,301.54720611368367,0.14244186046511628,0.8765907154467548
3,LUAD,0.3,AT2-like,IL1RN,344,1,1,1.461133839859731,0.0029069767441860465,0.004247482092615497
3,LUAD,0.3,AT2-like,NLRP3,344,1,1,2.844950213371266,0.0029069767441860465,0.008270204108637401
3,LUAD,0.3,AT2-like,PYCARD,344,11,9,27.866009028529074,0.02616279069767442,0.08100584019921242
3,LUAD,0.3,AT2-like,SIGIRR,344,137,99,412.84209921171146,0.2877906976744186,1.2001223814293938
3,LUAD,0.3,Fibroblasts,GSDMD,137,33,27,199.7356620366837,0.19708029197080293,1.4579245404137495
3,LUAD,0.3,Fibroblasts,IL1A,137,0,0,0.0,0.0,0.0
3,LUAD,0.3,Fibroblasts,IL1B,137,0,0,0.0,0.0,0.0
3,LUAD,0.3,Fibroblasts,IL1R1,137,239,88,1524.2666657420468,0.6423357664233577,11.12603405651129
3,LUAD,0.3,Fibroblasts,IL1R2,137,1,1,5.408328826392645,0.0072992700729927005,0.03947685274739157
3,LUAD,0.3,Fibroblasts,IL1RAP,137,10,7,58.72447099482326,0.051094890510948905,0.4286457736848413
3,LUAD,0.3,Fibroblasts,IL1RN,137,0,0,0.0,0.0,0.0
3,LUAD,0.3,Fibroblasts,NLRP3,137,2,1,6.101281269066504,0.0072992700729927005,0.04453489977420806
3,LUAD,0.3,Fibroblasts,PYCARD,137,0,0,0.0,0.0,0.0
3,LUAD,0.3,Fibroblasts,SIGIRR,137,3,2,15.608507877485014,0.014598540145985401,0.11393071443419718
3,LUAD,0.3,Macrophages,GSDMD,56,21,14,93.82264434936218,0.25,1.6754043633814675
3,LUAD,0.3,Macrophages,IL1A,56,0,0,0.0,0.0,0.0
3,LUAD,0.3,Macrophages,IL1B,56,0,0,0.0,0.0,0.0
3,LUAD,0.3,Macrophages,IL1R1,56,22,17,99.56953359248047,0.30357142857142855,1.7780273855800084
3,LUAD,0.3,Macrophages,IL1R2,56,2,1,0.9609840476648088,0.017857142857142856,0.01716042942258587
3,LUAD,0.3,Macrophages,IL1RAP,56,7,3,15.480010260665653,0.05357142857142857,0.2764287546547438
3,LUAD,0.3,Macrophages,IL1RN,56,37,11,170.5383171041843,0.19642857142857142,3.0453270911461483
3,LUAD,0.3,Macrophages,NLRP3,56,7,5,20.32769134995497,0.08928571428571429,0.36299448839205306
3,LUAD,0.3,Macrophages,PYCARD,56,3,2,8.587083494795067,0.03571428571428571,0.15334077669276905
3,LUAD,0.3,Macrophages,SIGIRR,56,3,3,7.941496471550461,0.05357142857142857,0.14181243699197252
3,LUAD,0.3,Other assigned,GSDMD,193,103,70,724.2532644424412,0.3626943005181347,3.752607587784669
3,LUAD,0.3,Other assigned,IL1A,193,0,0,0.0,0.0,0.0
3,LUAD,0.3,Other assigned,IL1B,193,18,3,45.99294551879029,0.015544041450777202,0.23830541719580461
3,LUAD,0.3,Other assigned,IL1R1,193,167,66,1337.3468235369462,0.34196891191709844,6.929258153041172
3,LUAD,0.3,Other assigned,IL1R2,193,9,3,32.81410999482349,0.015544041450777202,0.17002129530996626
3,LUAD,0.3,Other assigned,IL1RAP,193,14,12,95.2620949462828,0.06217616580310881,0.4935859841776311
3,LUAD,0.3,Other assigned,IL1RN,193,16,4,73.18030708258759,0.02072538860103627,0.37917257555744865
3,LUAD,0.3,Other assigned,NLRP3,193,1,1,4.640371229698376,0.0051813471502590676,0.024043374247141844
3,LUAD,0.3,Other assigned,PYCARD,193,1,1,9.70873786407767,0.0051813471502590676,0.05030434126465114
3,LUAD,0.3,Other assigned,SIGIRR,193,46,38,306.88010859830456,0.19689119170984457,1.5900523761570184
3,LUAD,0.3,Other epithelial,GSDMD,392,134,88,432.22051672382327,0.22448979591836735,1.1026033589893451
3,LUAD,0.3,Other epithelial,IL1A,392,1,1,0.2462811545660526,0.002551020408163265,0.0006282682514440117
3,LUAD,0.3,Other epithelial,IL1B,392,23,5,80.7554356664256,0.012755102040816327,0.20600876445516733
3,LUAD,0.3,Other epithelial,IL1R1,392,470,153,1696.3062855233911,0.3903061224489796,4.327311952865793
3,LUAD,0.3,Other epithelial,IL1R2,392,4,4,18.62643502479596,0.01020408163265306,0.04751641587958153
3,LUAD,0.3,Other epithelial,IL1RAP,392,53,35,145.33534825565607,0.08928571428571429,0.37075343942769406
3,LUAD,0.3,Other epithelial,IL1RN,392,14,7,16.348994885882313,0.017857142857142856,0.04170661960684263
3,LUAD,0.3,Other epithelial,NLRP3,392,1,1,7.942811755361398,0.002551020408163265,0.020262274886126017
3,LUAD,0.3,Other epithelial,PYCARD,392,0,0,0.0,0.0,0.0
3,LUAD,0.3,Other epithelial,SIGIRR,392,222,113,597.8107596849095,0.288265306122449,1.5250274481757895
3,LUAD,0.3,Other myeloid,GSDMD,40,14,11,99.60183756170277,0.275,2.4900459390425693
3,LUAD,0.3,Other myeloid,IL1A,40,0,0,0.0,0.0,0.0
3,LUAD,0.3,Other myeloid,IL1B,40,82,12,565.8415615416302,0.3,14.146039038540755
3,LUAD,0.3,Other myeloid,IL1R1,40,3,2,17.656598213773968,0.05,0.4414149553443492
3,LUAD,0.3,Other myeloid,IL1R2,40,1,1,5.6850483229107445,0.025,0.1421262080727686
3,LUAD,0.3,Other myeloid,IL1RAP,40,7,4,37.56559842481021,0.1,0.9391399606202553
